fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos
3300100;Angra dos Reis;2014;1;Interior;11;0;0;1;7;5;1;1;7;8;0;4;0;0;0;0;0;0;5;18;3;3;11;0;98
3300159;Aperibé;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3300209;Araruama;2014;1;Interior;2;0;0;0;7;6;1;0;7;9;0;3;2;0;0;0;0;0;2;16;2;1;10;0;76
3300225;Areal;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3300233;Armação dos Búzios;2014;1;Interior;2;0;0;0;6;5;1;0;6;2;0;0;0;0;0;0;0;0;20;9;9;2;7;0;74
3300258;Arraial do Cabo;2014;1;Interior;0;0;0;0;2;1;0;0;1;2;0;0;0;0;0;0;0;0;6;3;3;0;1;0;39
3300308;Barra do Piraí;2014;1;Interior;1;0;0;0;5;2;0;0;2;1;1;1;0;0;0;0;0;0;2;5;0;1;5;0;27
3300407;Barra Mansa;2014;1;Interior;5;0;0;0;4;3;0;0;3;4;0;9;1;0;0;0;0;0;1;20;4;0;11;0;87
3300456;Belford Roxo;2014;1;Baixada Fluminense;29;0;0;0;11;173;1;8;182;73;23;10;2;0;0;0;3;0;14;27;18;3;10;0;112
3300506;Bom Jardim;2014;1;Interior;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;6
3300605;Bom Jesus do Itabapoana;2014;1;Interior;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;20
3300704;Cabo Frio;2014;1;Interior;9;0;0;0;9;34;0;1;35;15;1;8;2;0;0;0;0;0;118;34;57;6;17;0;194
3300803;Cachoeiras de Macacu;2014;1;Interior;2;0;0;0;2;1;0;0;1;0;1;1;1;0;0;0;0;0;3;4;0;1;1;0;21
3300902;Cambuci;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
3300936;Carapebus;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3300951;Comendador Levy Gasparian;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3301009;Campos dos Goytacazes;2014;1;Interior;18;0;0;0;20;89;3;6;98;26;3;12;2;1;2;0;2;0;13;56;55;19;8;0;165
3301108;Cantagalo;2014;1;Interior;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;11
3301157;Cardoso Moreira;2014;1;Interior;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
3301207;Carmo;2014;1;Interior;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;9
