fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubos;furtos;sequestro_relampago;estelionato;trafico_drogas
3300100;Angra dos Reis;2014;1;Interior;11;0;0;1;7;23;134;0;21;12
3300159;Aperibé;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3300209;Araruama;2014;1;Interior;2;0;0;0;7;23;105;0;18;4
3300225;Areal;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3300233;Armação dos Búzios;2014;1;Interior;2;0;0;0;6;12;117;0;4;10
3300258;Arraial do Cabo;2014;1;Interior;0;0;0;0;2;6;49;0;8;10
3300308;Barra do Piraí;2014;1;Interior;1;0;0;0;5;7;38;0;4;5
3300407;Barra Mansa;2014;1;Interior;5;0;0;0;4;18;122;0;5;10
3300456;Belford Roxo;2014;1;Baixada Fluminense;29;0;0;0;11;307;170;0;29;29
3300506;Bom Jardim;2014;1;Interior;0;0;0;0;1;2;9;0;3;2
3300605;Bom Jesus do Itabapoana;2014;1;Interior;0;0;0;0;2;1;21;0;1;1
3300704;Cabo Frio;2014;1;Interior;9;0;0;0;9;103;384;2;27;34
3300803;Cachoeiras de Macacu;2014;1;Interior;2;0;0;0;2;7;27;0;7;2
3300902;Cambuci;2014;1;Interior;0;0;0;0;0;0;3;0;1;1
3300936;Carapebus;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3300951;Comendador Levy Gasparian;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3301009;Campos dos Goytacazes;2014;1;Interior;18;0;0;0;20;160;302;0;45;49
3301108;Cantagalo;2014;1;Interior;1;0;0;0;2;2;13;0;0;1
3301157;Cardoso Moreira;2014;1;Interior;1;0;0;0;0;0;6;0;0;0
3301207;Carmo;2014;1;Interior;0;0;0;0;1;3;11;0;1;1
3301306;Casimiro de Abreu;2014;1;Interior;0;0;0;0;0;10;31;0;4;0
3301405;Conceição de Macabu;2014;1;Interior;1;0;0;0;1;2;3;0;0;0
3301504;Cordeiro;2014;1;Interior;1;0;0;0;1;3;21;0;1;1
3301603;Duas Barras;2014;1;Interior;0;0;0;0;1;2;2;0;1;0
3301702;Duque de Caxias;2014;1;Baixada Fluminense;37;0;0;3;25;1309;642;2;209;57
3301801;Engenheiro Paulo de Frontin;2014;1;Interior;0;0;0;0;0;0;6;0;0;2
3301850;Guapimirim;2014;1;Baixada Fluminense;1;0;0;0;2;12;11;0;6;1
3301876;Iguaba Grande;2014;1;Interior;0;0;0;0;1;10;33;0;1;0
3301900;Itaboraí;2014;1;Interior;5;0;0;0;9;162;164;1;28;25
3302007;Itaguaí;2014;1;Baixada Fluminense;9;0;0;0;5;75;115;0;19;7
3302056;Italva;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3302106;Itaocara;2014;1;Interior;0;0;0;0;1;2;13;0;1;0
3302205;Itaperuna;2014;1;Interior;1;0;0;0;2;14;48;0;12;11
3302254;Itatiaia;2014;1;Interior;0;0;0;0;3;2;31;0;2;13
3302270;Japeri;2014;1;Baixada Fluminense;5;0;0;0;4;14;30;0;2;16
3302304;Laje do Muriaé;2014;1;Interior;0;0;0;0;0;0;3;0;0;1
3302403;Macaé;2014;1;Interior;10;0;0;3;26;151;246;0;32;16
3302452;Macuco;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3302502;Magé;2014;1;Baixada Fluminense;15;0;0;0;5;89;145;0;22;7
3302601;Mangaratiba;2014;1;Interior;2;0;0;0;1;9;49;0;2;1
3302700;Maricá;2014;1;Grande Niterói;6;0;0;0;2;41;140;0;20;12
3302809;Mendes;2014;1;Interior;0;0;0;0;0;0;10;0;5;0
3302858;Mesquita;2014;1;Baixada Fluminense;4;0;0;0;11;180;143;0;14;9
3302908;Miguel Pereira;2014;1;Interior;2;0;0;0;1;2;21;0;2;3
